"nombre","titulo_comentario","contenido_comentario"
"Harrys Restaurant","Excelente restaurante","Teníamos una reunión familiar. El sitio de encuentro anual es Harry’s. Este restaurante es muy bueno, permite varios menús para diferentes paladares. El servicio es muy bueno, amable y muy preocupados del cliente y su confort en la cena"
"Entre Cuates","Guacamole","El mejor guacamole del mundo 😍, un gran servicio 👍👌🏻sus espacios son amplios, fuimos atendidos por Diyi"
"T Bone Restaurante","Cena romántica","El servicio fue excelente, la atención de los colaboradores fue muy buena y la comida estuvo 20/10, muy fresca, deliciosa y todo en su punto. La locación muy confortable e ideal para cualquier tipo de evento."
"Dona Elvira","Un clásico muy rico","Restaurante muy tradicional, platos de buen precio, buena calidad y buena cantidad, para almorzar en familia es ideal, todos los platos son muy ricos, el postre de las tres leches es el más deliciosoo!!!! Muy recomendado este restaurante."
"Grecia de Andrei","Celebrando 20 años aniversario","Después de 20 hemos regresado a los sabores y momentos especiales, que les recomendamos vivir, sino en Grecia en Grecia de Andrei. Excelente atención, especialmente de Andrea y Harold, la comida deliciosa y el ambiente único!Más"
"restaurante mirador la paloma","Reseña","Excelente servicio, ambiente para familias amigos y parejas, comida super rica, vista espectacular de todo bogota"
"El Panoptico","Diferente y delicioso","Voy con frecuencia al Museo Nacional de Colombia en Bogotá porque constantemente tienen exposiciones excelentes. Sin embargo como voy temprano y me devuelvo al final de la mañana a mi casa, no había tenido la oportunidad de almorzar en El Panóptico. Fué un deleite- comí...un ceviche de Raya con patacones (tostadas de plátano entre verde y maduro) novedoso y delicioso. También comí Tumaco que son bolitas de plátano maduro rellenas de carne de jaiba. Qué sorpresa tan agradable, estaban maravillosas. Todo esto acompañado de un jugo de Araca que es una fruta del Amazonas difícil de conseguir y que para mi gusto es de lo mejor. Recomiendo ir al museo un sábado, ver las exposiciones, asistir a algún evento generalmente sin costo y almorzar comida del nuestro pacífico que es diferente y buenísima. Un plan regio!Más"
"Mediterránea de Andrei","Excelente!","Todo muy rico en un ambiente muy agradable. La carta es muy grande y realmente nada defrauda. El servicio un poco exagerado (todos los mozos pasan en algún momento u otro a ver que necesitas) y no tan eficiente, pero aún así muy amable. Vale...Más"
"Ilhe Habana","Muy buen restaurante","Ambiente familiar y acogedor, buena relación calidad precio, comida criolla cubana difícil de encontrar en otro restaurante en Bogotá. Música en vivo que hace aún más ameno el momento."
"La Plaza de Andrés","Mejor relación precio beneficio","La comida es muy buena a un precio razonable, los cebiches son muy buenos y las bebidas también. recomendado."
"Black Bear","Excelente","Ambiente agradable, servicio eficiente y amable.
Comida fantastica. Carta de vino variada 
Precio razonables.
100% Recomendado"
"Restaurante Gitane","Visita para cena","Excelente sitio
Excelente la comida 
Excelente atención
Muy buenas las cervezas del local que son de la misma empresa"
"Pajares Salinas","La mejor comida en la ciudad","Excelente comida, servicio y ambiente.
Es realmente una experiencia europea en la ciudad.
Teníamos 10 tapas, los tres mejores para nuestro grupo fueron:
La ensalada de bonito , pulpos y tortilla española."
"Leo","El elegante comedor es mejor","Probablemente el mejor restaurante de la ciudad, no en todo Colombia. El ambiente es comparable a los mejores restaurantes de Europa y los estados unidos. Teníamos el menú degustación, que estaba a unos 8 platos con combinaciones de vinos y fue genial! He visitado muchos...de los mejores restaurantes del mundo y este es sin duda uno de ellos. Los platos son internacionales pero altamente influenciado por la cocina local. Vino que también estaban bien, una combinación de los vinos europeos y del nuevo mundo. Volveré.Más"
"Luna","consistentemente bueno","tuve otra reunión con un cliente clave y estuvimos de acuerdo en que se reúnen aquí. No había estado allí durante algún tiempo, bueno saber que aún es el mismo.

Buena atención en el bar, muy buenos aperitivos, y un servicio. Realmente me gusta usar...este restaurante para reuniones. Resulta que el cliente vive 5 manzanas y yo vivimos 4 cuadras así que estaremos ahí una reunión más!Más"
"Grecia de Andrei","No falto nada","Los dips una delicia, el pato exquisito, las berenjenas hummm, la lasagna de cordero incomparable. La sangria toda una experiencia."
"Salvo Patria","Delicioso Pastrami!!","Probé de todo un poco de los platos de los demás. Delicioso. Pero sin duda el pastrimi de morrillo es sensacional. Está como entrada como emparedado. No dejen de probarlo. El ambiente y la atención fueron excelentes... Un lugar para quedarse, conversar, tomarse un trago."
"Tamarine Asian Cuisine","Excelente servicio","Pedimos un pad Thai Tamarine, un pato tamarindo y estaba delicioso, además el cocktel del día por parte del bartender nos sorprendió. 

Gracias por la atención Geraldine y KatherineMás"
"Storia D' Amore Piazza","Grado cuñis","Todos contentos y satisfechos, buena atencion y excelente calidad de los platos, es mas amañador el de la zonaT.Más"
"Coctel del Mar","Contento con el festival peruano!","Acabo de comer en la sede norte (Ctro Cial Autopista 184 ​Autopista Nte No 183A-86), todo el mes de octubre hay un festival peruano donde ofrecen 4 platos, he probado la jalea de mariscos y como peruano puedo dar fe que está muy bueno."
"Piazza Italia By Storia D'amore Calle 93","Cumpleaños de mi pareja","El sitio, la música, el personal y la comida excepcional, me sentí muy a gusto celebrando una fecha especial con mi pareja"
"TGI Friday's","Buen Lugar Para Compartir","Un lugar agradable para cualquier plan, ya sea con amigos, pareja, padres, etc, tienen un ambiente agradable y buena atención  y ni hablar de la comida, recomiendo la Baby beef"
"Donostia","sensacional comida - tienes que ir aquí!","Habíamos leído sobre Donostia en el NY Times y nos encantó! Todo fue maravilloso, así como muestra muchas tapas como sea posible, y también a la lista de vinos. Es uno de los restaurantes más interesantes y deliciosos que hemos estado en las Américas, y...me hubiera gustado que hubiera abierto una sucursal en la ciudad de Nueva York!

Nos reunimos con el jefe de cocina -- era en realidad casarse al lado que noche -- y él era increíblemente cálido y divertido, lo que hizo que la experiencia culinaria memorable.

Además la comida increíble, el servicio es excelente, y la decoración es elegante, y el precio es razonable. No tengo mucho más que decir, es simplemente ir aquí!Más"
"Sant Just","Delicioso!","Comida deliciosa y barata, absolutamente recomendable para una comida estupenda, todo está muy bien presentado. Teníamos las salchichas y puré de patatas y fue fantástico. No está abierto para la cena, así que asegúrate de ir para el almuerzo. No te lo pierdas."
"Cuarto Frio Gastrobar","Muy buena comida!!!","Fuimos un grupo grande por lo que nos informaron que para grupos definen un menú especial.
La carta del restaurante no es muy grande sin embargo los platos que incluyen son diferentes y muy bien logrados.
Comimos delicioso, el pulpo recomendado, chorizo muy bueno, el...Más"
"Tomy Tomato Pizza","Espectacular!!!!!! Recomendadisimo!","Buena ubicación, lugar precioso, bien atendido.

Pedimos Berejenas Parmegianas de entrada.... que deliciaaaaa y las pizzas absolutamente espectaculares. Hechas al horno de leña.

Licor bien servido y cafe delicioso

Recomendadisimo!!!!!!

Volveré."
"Sant Just","Almuerzo delicioso","Muy buenos platos, lo mejor la sopa de tomate orgánico. El cordero es perfecto y muy buen ambiente a precios razonables.
Para ser mi primera visita fue muy buena. No dejen de conocerlo y disfrutarlo."
"Tramonti","Noche romantica","Excelente servicio y muy buena atención, espacios adecuados y ambiente muy romántico para parejas, volveríamos"
"Crepes & Waffles","Económico y delicioso","Amo este restaurante las chicas camareras muy rápidas y ante todo la comida deliciosa sin olvidar la buena presentación de los postres."
"La Jugueteria","Que sitio tan buen atendido","El servicio de Nicolas muy bien,  la comida con un buen sason,  un lugar muy bonito volvereee muy pronto."
"T Bone Restaurante","Un lugar grandioso para visitar","No tengo palabra para describir lo bueno que es estar en T-Bone. Es un lugar exclusivo para los amantes de la carne. Se encuentra ubicado en la Candelaria en una casa que evoca la historia de nuestra Capital. Definitivamente es un un lugar para visitar."
"Restaurante QUN","Espectacular","Nos encantó! Todo estuvo perfecto! El lugar es súper lindo, agradable, iniciamos con Ceviche QUN!! Woowww perfecto! La asesoría de los meseros muy adecuada, luego pedimos un arroz yakimeshi, los dos platos sugeridos por el mesero o encargado de la carta.... y para terminar pedimos...Más"
"The Market","Excelente, un muy buen rato juntos","Celebramos el cumpleaños de mi papa en este sitio y fue sencillamente espectacular, la atención muy buena, los meseros muy atentos todos en especial Nicolas Camacho y Ana García! Me encanto además la pizza, que me la hicieron al momento, caliente con verduras frescas, deliciosa!!!...Más"
"La Jugueteria","Compartir departamento en familia","Buen servicio, amabilidad en cuanto atención de la srta Diana, platos a punto. Y buena imagen 😋 un lugar para compartir y degustar."
"Capitalino Restaurant","Excelente en servicio","Desayuno tipo buffet con todo tipo de alimentos, frescos y variados, panadería fresca y de todo tipo; el servicio muy bueno, huevos al gusto y bebidas frías y calientes.
Una muy buena opción para desayunar a gustoMás"
"Deluchi Pizza Por Metro","Pizza Por Metro! Para toda la familia!","Uno de los sitios favoritos! Comer Pizza y tomar unas frías! la combinación perfecta! Deliciosa! Te lo recomiendo!"
"Santa Fe Cafe & Restaurante","Excelente Restaurante","excelente atención, buen ambiente, el lugar es muy acogedor y exquisita la comida, recomendado. El administrador es muy atento y el personal del restaurante es muy cordial."
"Niko Cafe","Buen ambiente increíble comida","Pedimos el ravioli de salmón y el risotto con salmón fresco.
Ambos platos estaban muy sabrosas. El risotto.
Recomiendo encarecidamente este restaurante."
"La Fragata Giratorio W.T.C.","Muy bueno!","El lugar es bastante agradable, la atención es muy buena, la comida es deliciosa, los precios un poco superiores al promedio pero valen la pena. Sin lugar a duda regresaria."
"Osaki 71","Un casi excelente ramen =)","Porque casi excelente porque falta solo un poco para comparar la pasta de ramen con la propia del ramen en Japón...el lugar es excelente...buen ambiente...buen servicio...buen lugar =)"
"El Mat Tapas Bar","La comida","Recomendamos: Kebab  de Cordero y el gyosas foie gras son platos contundentes con mucho sabor, gran experiencia y la música excelente  no paramos de bailar en todo el rato que estuvimos aquí. 

La atención: de lujo, el mesero se conocía todos los platos y al...Más"
"Tierra Restaurante","Delicioso !!!","Este es uno de los mejores restaurantes de Bogota, excelente servicio , la comida deliciosa, muy buena música Todo salió perfecto. Volveremos con Gusto."
"IL MERCATINO","Un rinconcito Italiano en mi Bogota querida!","En Il Mercantino puedes encontrar una autentica comida italiana, hecha con un delicioso horno de leña acompañado por un buen Malbec.

La atencion y la ubicacion del sitio es excelente, y sus precios son comodos.

Excelente lugar para ir en pareja!"
